,time,xpos,ypos,zpos,xdot,ydot,zdot,roll,pitch,yaw,ang_roll,ang_pitch,ang_yaw,in_roll,in_pitch,in_yaw,target_xpos,target_ypos,target_zpos,payload_temp,energy,adcs_mode,payload_mode
10002,5001.0,6186421.474930014,-2007712.915658357,-2044088.6839347773,3057.5339962703133,6303.392723771239,3058.375523801946,,,,,,,,,,,,,,,,
10003,5001.5,6187950.24192815,-2004561.2192964714,-2042559.4961728763,3053.6432855930875,6304.655397210061,3059.661074374278,,,,,,,,,,,,,,,,
10004,5002.0,6189477.063570946,-2001408.8915978663,-2041029.6656356892,3049.751616321496,6305.916087583313,3060.9456622775215,,,,,,,,,,,,,,,,
10005,5002.5,6191001.939379107,-1998255.9335540747,-2039499.1928045503,3045.858989678524,6307.174794497468,3062.229287109466,,,,,,,,,,,,,,,,
10006,5003.0,6192524.868873946,-1995102.346156826,-2037968.0781609956,3041.965406887455,6308.431517559618,3063.5119484682023,,,,,,,,,,,,,,,,
10007,5003.5,6194045.85157739,-1991948.1303980462,-2036436.3221867615,3038.070869171872,6309.686256377481,3064.793645952123,,,,,,,,,,,,,,,,
10008,5004.0,6195564.887011976,-1988793.2872698575,-2034903.9253637856,3034.175377755654,6310.939010559393,3066.074379159923,,,,,,,,,,,,,,,,
10009,5004.5,6197081.974700854,-1985637.8177645777,-2033370.8881742056,3030.27893386298,6312.189779714312,3067.3541476905993,,,,,,,,,,,,,,,,
10010,5005.0,6198597.114167785,-1982481.7228747206,-2031837.2111003601,3026.3815387183245,6313.4385634518185,3068.6329511434515,,,,,,,,,,,,,,,,
10011,5005.5,6200110.304937145,-1979325.0035929948,-2030302.8946247883,3022.483193546459,6314.685361382114,3069.9107891180806,,,,,,,,,,,,,,,,
10012,5006.0,6201621.546533918,-1976167.6609123037,-2028767.9392302292,3018.5838995724525,6315.930173116022,3071.1876612143906,,,,,,,,,,,,,,,,
10013,5006.5,6203130.838483704,-1973009.6958257458,-2027232.345399622,3014.683658021669,6317.172998264989,3072.4635670325883,,,,,,,,,,,,,,,,
10014,5007.0,6204638.1803127155,-1969851.1093266134,-2025696.1136161059,3010.782470119769,6318.413836441081,3073.738506173183,,,,,,,,,,,,,,,,
10015,5007.5,6206143.5715477755,-1966691.9024083929,-2024159.2443630192,3006.8803370927085,6319.652687256989,3075.012478236987,,,,,,,,,,,,,,,,
10016,5008.0,6207647.011716322,-1963532.0760647643,-2022621.7381239007,3002.977260166737,6320.8895503260255,3076.2854828251157,,,,,,,,,,,,,,,,
10017,5008.5,6209148.500346405,-1960371.6312896013,-2021083.595382488,2999.0732405684,6322.1244252621245,3077.557519538987,,,,,,,,,,,,,,,,
10018,5009.0,6210648.03696669,-1957210.5690769702,-2019544.8166227187,2995.1682795245365,6323.357311679844,3078.828587980323,,,,,,,,,,,,,,,,
