,time,xpos,ypos,zpos,xdot,ydot,zdot,roll,pitch,yaw,ang_roll,ang_pitch,ang_yaw,in_roll,in_pitch,in_yaw,target_xpos,target_ypos,target_zpos,payload_temp,energy,adcs_mode,payload_mode
0,0.0,0.0,0.0,-400000.0,7672.555646341823,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,35.0,1.0,0.0
1,0.04,306.9022258536729,0.0,-400000.0,7672.555646341823,0.0,0.0,0.0002513274122871835,-1.5705449993826093,0.0,0.023624776754995247,0.023624776754995247,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.87197432881071,35.019999999999996,1.0,0.0
2,0.08,613.8044517073458,0.0,-400000.0,7672.555646341823,0.0,0.0,0.0013909464305621882,-1.5694053803643344,0.0,0.04191980387406356,0.04191980387406356,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.87197432881071,35.03999999999999,1.0,0.0
3,0.12,920.7066775610188,0.0,-400000.0,7672.555646341823,0.0,0.0,0.0032184584685141615,-1.5675778683263824,0.0,0.056087472875070064,0.056087472875070064,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.87197432881071,35.05999999999999,1.0,0.0
4,0.16,1227.6089034146917,0.0,-400000.0,7672.555646341823,0.0,0.0,0.00557867486090398,-1.5652176519339926,0.0,0.0670589157494495,0.0670589157494495,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.87197432881071,35.079999999999984,1.0,0.0
5,0.2,1534.5111292683646,0.0,-400000.0,7672.555646341823,0.0,0.0,0.008351417505370464,-1.562444909289526,0.0,0.07555520111136893,0.07555520111136893,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.87197432881071,35.09999999999998,1.0,0.0
6,0.24,1841.4133551220375,0.0,-400000.0,7672.555646341823,0.0,0.0,0.011443620479445119,-1.5593527063154515,0.0,0.08213472449563934,0.08213472449563934,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.89740108900093,35.119999999999976,1.0,0.0
7,0.28,2148.3155809757104,0.0,-400000.0,7672.555646341823,0.0,0.0,0.014783213532768342,-1.5560131132621282,0.0,0.08722990740441834,0.08722990740441834,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.89740108900093,35.13999999999997,1.0,0.0
8,0.32,2455.2178068293833,0.0,-400000.0,7672.555646341823,0.0,0.0,0.018314385463461653,-1.5524819413314348,0.0,0.09117561704897681,0.09117561704897681,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.89740108900093,35.15999999999997,1.0,0.0
9,0.36,2762.1200326830567,0.0,-400000.0,7672.555646341823,0.0,0.0,0.021993916076790365,-1.548802410718106,0.0,0.09423117459772289,0.09423117459772289,0.0,0.12217304763960307,-1.3089969389957472,0.0,0.0,0.0,0.0,16.89740108900093,35.179999999999964,1.0,0.0
